Name;Currency;Market Cap;Carbon footprint (total GHG emissions / enterprise value);Type;Sub type;Market;ISIN Code;Industry;SuperSector;Sector;Subsector;Average training hours per employee;Number of female board members;Number of board members;Share of women in total workforce in %;Share of women in management bodies in %;Gender pay gap in %;Rate of employees with disabilities in %;Board gender diversity (female board members / total board members) in %;Total energy consumption in mwh;Rate of resignation in %
DALATA HOTEL GROUP PLC;EUR;938536000.0;63.1643 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Dublin;IE00BJMZDW83;40, Consumer Discretionary;4050, Travel and Leisure;405010, Travel and Leisure;40501025, Hotels and Motels;10.0;5.0;8.0;;0.45;0.07;;0.625;138650.944;
DATALEX PLC;EUR;63689000.0;;Stock;Ordinary Shares;Euronext Growth Dublin;IE0000527006;10, Technology;1010, Technology;101010, Software and Computer Services;10101015, Software;;0.0;7.0;0.271;0.417;;;0.0;;
DONEGAL INVESTMENT GROUP PLC;EUR;25070000.0;;Stock;Ordinary Shares;Euronext Growth Dublin;IE000TIRQBE1;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102010, Farming, Fishing, Ranching and Plantations;;0.0;5.0;;;;;0.0;;
FBD HOLDINGS PLC;;;76.78 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Dublin;IE0003290289;30, Financials;3030, Insurance;303020, Non-life Insurance;30302010, Full Line Insurance;;3.0;11.0;0.61;0.3;0.28;;0.273;;
FD TECHNOLOGIES PLC;EUR;418663000.0;;Stock;Ordinary Shares;Euronext Growth Dublin;GB0031477770;10, Technology;1010, Technology;101010, Software and Computer Services;10101010, Computer Services;;2.0;7.0;0.3;;;;0.286;;
GLANBIA PLC;EUR;4690000000.0;;Stock;Ordinary Shares;Euronext Dublin;IE0000669501;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102020, Food Products;;5.0;14.0;0.27;0.38;0.01;;0.357;;
GLENVEAGH PROPERTIES PLC;EUR;738907000.0;0.36 Ton / Thousand (EUR);Stock;Ordinary Shares;Euronext Dublin;IE00BD6JX574;40, Consumer Discretionary;4020, Consumer Products and Services;402020, Household Goods and Home Construction;40202010, Home Construction;19.0;2.0;7.0;0.3;;;;0.286;;
GREAT WESTERN MINING CORPORATION PLC;EUR;3548000.0;;Stock;Ordinary Shares;Euronext Growth Dublin;IE00B1FR8863;55, Basic Materials;5510, Basic Resources;551020, Industrial Metals and Mining;55102000, General Mining;;1.0;6.0;;;;;0.167;;
GREENCOAT RENEWABLES PLC;EUR;975759000.0;;Stock;Ordinary Shares;Euronext Growth Dublin;IE00BF2NR112;65, Utilities;6510, Utilities;651010, Electricity;65101010, Alternative Electricity;;;;;;;;;;
IRISH CONTINENTAL GROUP PLC;EUR;824150000.0;;Stock;Units;Euronext Dublin;IE00BLP58571;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation;;2.0;6.0;0.39;;;;0.333;1870890.386;
IRISH RESIDENTIAL PROPERTIES REIT PLC;EUR;528520000.0;;Stock;Ordinary Shares;Euronext Dublin;IE00BJ34P519;35, Real Estate;3510, Real Estate;351020, Real Estate Investment Trusts;35102040, Residential REITs;41.0;3.0;9.0;0.49;;;;0.333;;
KENMARE RESOURCES PLC;EUR;358697000.0;366.86 Ton / Million (USD);Stock;Ordinary Shares;Euronext Dublin;IE00BDC5DG00;55, Basic Materials;5510, Basic Resources;551020, Industrial Metals and Mining;55102000, General Mining;44.5;3.0;9.0;0.16;0.18;;;0.333;435903.0;
