Name;Currency;Market Cap;CDP;FTSE4Good;MSCI ESG Ratings;Moody's ESG Solution;Sustainalytics;Carbon footprint (total GHG emissions / enterprise value);Share of women in total workforce;Rate of resignation;Type;Sub type;Market;ISIN Code;Industry;SuperSector;Sector;Subsector
IRISH RESIDENTIAL PROPERTIES REIT PLC;EUR;518.458M;;;;;;;49 %;;Stock;Ordinary Shares;Euronext Dublin;IE00BJ34P519;35, Real Estate;3510, Real Estate;351020, Real Estate Investment Trusts;35102040, Residential REITs
KENMARE RESOURCES PLC;EUR;358.697M;;;;;;366.86 Ton / Million (USD);16 %;;Stock;Ordinary Shares;Euronext Dublin;IE00BDC5DG00;55, Basic Materials;5510, Basic Resources;551020, Industrial Metals and Mining;55102000, General Mining
KERRY GROUP PLC;EUR;13.733B;;;;;;;32.6 %;;Stock;Ordinary Shares;Euronext Dublin;IE0004906560;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102020, Food Products
KINGSPAN GROUP PLC;EUR;14.825B;A;;;;18.2;662.0541 Ton / Million (EUR);21 %;;Stock;Ordinary Shares;Euronext Dublin;IE0004927939;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101035, Building Materials: Other
MALIN CORPORATION PLC;EUR;105.312M;;;;;;;;;Stock;Ordinary Shares;Euronext Growth Dublin;IE00BVGC3741;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103015, Pharmaceuticals
MINCON GROUP PLC;EUR;104.111M;;;;;;;;;Stock;Ordinary Shares;Euronext Growth Dublin;IE00BD64C665;50, Industrials;5020, Industrial Goods and Services;502040, Industrial Engineering;50204000, Machinery: Industrial
ORIGIN ENTERPRISES PLC;EUR;346.896M;B;;;;Low Risk;56,791.5952 Ton / Million (EUR);27 %;;Stock;Ordinary Shares;Euronext Growth Dublin;IE00B1WV4493;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102010, Farming, Fishing, Ranching and Plantations
OVOCA BIO PLC;EUR;574.982K;;;;;;;;;Stock;Ordinary Shares;Euronext Growth Dublin;IE00B4XVDC01;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103010, Biotechnology
PERMANENT TSB GROUP HOLDINGS PLC;EUR;829.295M;;;;;;;;;Stock;Ordinary Shares;Euronext Dublin;IE00BWB8X525;30, Financials;3010, Banks;301010, Banks;30101010, Banks
RYANAIR HOLDINGS PLC;EUR;23.086B;;;;;23.4;824.8105 Ton / Million (EUR);42 %;;Stock;Ordinary Shares;Euronext Dublin;IE00BYTBXV33;40, Consumer Discretionary;4050, Travel and Leisure;405010, Travel and Leisure;40501010, Airlines
SMURFIT KAPPA GROUP PLC;EUR;10.553B;;;;;;;;;Stock;Ordinary Shares;Euronext Dublin;IE00B1RR8406;50, Industrials;5020, Industrial Goods and Services;502030, General Industrials;50203030, Containers and Packaging
UNIPHAR PLC;EUR;709.840M;;;;;;;;;Stock;Ordinary Shares;Euronext Growth Dublin;IE00BJ5FQX74;45, Consumer Staples;4520, Personal Care, Drug and Grocery Stores;452010, Personal Care, Drug and Grocery Stores;45201015, Drug Retailers
AKER BP;NOK;181.074B;A-;;;;34.7;2,572.4275 Ton / Million (USD);;;Stock;Ordinary Shares;Oslo Børs;NO0010345853;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101010, Oil: Crude Producers
BW LPG;NOK;20.230B;C;;;;Low Risk;;40 %;12 %;Stock;Ordinary Shares;Oslo Børs;BMG173841013;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation
DNB BANK ASA;NOK;327.497B;;;;;;;46.2 %;;Stock;Ordinary Shares;Oslo Børs;NO0010161896;30, Financials;3010, Banks;301010, Banks;30101010, Banks
EQUINOR;NOK;906.187B;;;;;;2,061.02 Ton / Million (USD);32 %;;Stock;Ordinary Shares;Oslo Børs;NO0010096985;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101000, Integrated Oil and Gas
FRONTLINE PLC;NOK;59.997B;;;;;;;26.32 %;;Stock;Ordinary Shares;Oslo Børs;CY0200352116;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation
GOLDEN OCEAN GROUP;NOK;29.340B;;;;;;622.17 Ton / Million (USD);34.2 %;;Stock;Ordinary Shares;Oslo Børs;BMG396372051;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation
HAFNIA LIMITED;NOK;42.453B;;;;;;;5.36 %;;Stock;Ordinary Shares;Oslo Børs;BMG4233B1090;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation
HOEGH AUTOLINERS ASA;NOK;18.505B;;;;;;776.2357 Ton / Million (USD);46 %;7.85 %;Stock;Ordinary Shares;Oslo Børs;NO0011082075;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation
KONGSBERG GRUPPEN;NOK;134.492B;;;;;;206.86 Ton / Million (NOK);21.6 %;5.3 %;Stock;Ordinary Shares;Oslo Børs;NO0003043309;50, Industrials;5020, Industrial Goods and Services;502030, General Industrials;50203000, Diversified Industrials
MOWI;NOK;96.467B;;;;;;210.91 Ton / Million (EUR);40 %;;Stock;Ordinary Shares;Oslo Børs;NO0003054108;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102010, Farming, Fishing, Ranching and Plantations
MPC CONTAINER SHIPS;NOK;5.930B;;;;;;2,637.81 Ton / Million (USD);36.4 %;;Stock;Ordinary Shares;Oslo Børs;NO0010791353;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation
NEL;NOK;7.772B;;;;;;1.5834 Ton / Million (NOK);20.5 %;;Stock;Ordinary Shares;Oslo Børs;NO0010081235;60, Energy;6010, Energy;601020, Alternative Energy;60102020, Renewable Energy Equipment
NORDIC SEMICONDUCTOR;NOK;17.582B;;;;;;28.36 Ton / Million (USD);17.1 %;;Stock;Ordinary Shares;Oslo Børs;NO0003055501;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors
